index,value
1,0.628440082918321
2,1.2568553461713894
3,1.8852209710741827
4,2.5135121409021
5,3.141704041871074
6,3.769771864117572
7,4.397690802678434
8,5.025436058470528
9,5.6529828392701615
10,6.280306360692229
11,6.907381847169056
12,7.5341845329288715
13,8.160689662973924
14,8.786872494058155
15,9.4127082956644
16,10.038172350981116
17,10.663239957878533
18,11.287886429884244
19,11.912087097158187
20,12.535817307466946
21,13.159052427157372
22,13.781767842129463
23,14.403938958808487
24,15.025541205116266
25,15.646550031441631
26,16.266940911610014
27,16.886689343852048
28,17.50577085177125
29,18.12416098531072
30,18.741835321718746
31,19.358769466513365
32,19.974939054445812
33,20.590319750462797
34,21.204887250667575
35,21.81861728327985
36,22.431485609594315
37,23.04346802493798
38,23.654540359626104
39,24.264678479916725
40,24.87385828896384
41,25.48205572776906
42,26.08924677613183
43,26.695407453598026
44,27.30051382040711
45,27.90454197843757
46,28.50746807215076
47,29.109268289533052
48,29.70991886303625
49,30.309396070516353
50,30.90767623617031
51,31.50473573147118
52,32.100550976101246
53,32.69509843888338
54,33.28835463871028
55,33.88029614547193
56,34.4708995809809
57,35.06014161989565
58,35.647998990641774
59,36.23444847633103
60,36.81946691567835
61,37.40303120391649
62,37.98511829370863
63,38.56570519605846
64,39.144768981218256
65,39.72228677959444
66,40.29823578265068
67,40.87259324380886
68,41.44533647934731
69,42.016442869296725
70,42.58588985833353
71,43.15365495667066
72,43.71971574094579
73,44.28404985510689
74,44.84663501129523
75,45.40744899072554
76,45.96646964456355
77,46.52367489480077
78,47.07904273512637
79,47.63255123179638
80,48.184178524499885
81,48.73390282722242
82,49.28170242910631
83,49.82755569530825
84,50.37144106785361
85,50.91333706648796
86,51.45322228952536
87,51.99107541469362
88,52.52687519997637
89,53.060600484452
90,53.59223018912949
91,54.12174331778075
92,54.64911895776993
93,55.174336280879345
94,55.697374544132096
95,56.218213090611194
96,56.736831350275466
97,57.25320884077196
98,57.76732516824483
99,58.27916002814081
100,58.78869320601105
101,59.29590457830959
102,59.80077411318801
103,60.30328187128665
104,60.803408006522005
105,61.301132766870644
106,61.79643649514921
107,62.28929962979075
108,62.77970270561739
109,63.267626354608986
110,63.753051306668105
111,64.23595839038103
112,64.71632853377496
113,65.19414276507123
114,65.66938221343463
115,66.14202810971854
116,66.61206178720637
117,67.07946468234873
118,67.54421833549651
119,68.00630439163004
120,68.46570460108394
121,68.92240082026787
122,69.37637501238311
123,69.82760924813488
124,70.27608570644051
125,70.72178667513322
126,71.16469455166163
127,71.60479184378495
128,72.04206117026392
129,72.47648526154713
130,72.90804696045315
131,73.33672922284808
132,73.76251511831879
133,74.18538783084149
134,74.60533065944584
135,75.02232701887459
136,75.43636044023863
137,75.84741457166734
138,76.25547317895445
139,76.66052014619915
140,77.0625394764426
141,77.46151529229971
142,77.85743183658622
143,78.25027347294096
144,78.64002468644344
145,79.02667008422664
146,79.41019439608483
147,79.79058247507672
148,80.16781929812366
149,80.54188996660302
150,80.91277970693645
151,81.2804738711735
152,81.6449579375701
153,82.00621751116195
154,82.36423832433326
155,82.71900623738003
156,83.0705072390686
157,83.418727447189
158,83.76365310910315
159,84.10527060228807
160,84.44356643487393
161,84.77852724617675
162,85.11013980722622
163,85.43839102128807
164,85.7632679243814
165,86.08475768579056
166,86.40284760857203
167,86.71752513005575
168,87.02877782234134
169,87.33659339278891
170,87.64095968450455
171,87.94186467682046
172,88.23929648576967
173,88.53324336455542
174,88.82369370401506
175,89.11063603307855
176,89.39405901922156
177,89.6739514689129
178,89.95030232805678
179,90.22310068242918
180,90.49233575810908
181,90.75799692190384
182,91.02007368176926
183,91.27855568722379
184,91.53343272975748
185,91.78469474323508
186,92.03233180429358
187,92.27633413273416
188,92.51669209190845
189,92.75339618909906
190,92.98643707589459
191,93.21580554855869
192,93.44149254839375
193,93.66348916209847
194,93.88178662212002
195,94.09637630700024
196,94.30724974171608
197,94.51439859801457
198,94.71781469474136
199,94.91748999816411
200,95.11341662228966
201,95.30558682917554
202,95.49399302923548
203,95.67862778153923
204,95.85948379410648
205,96.03655392419466
206,96.20983117858128
207,96.37930871383992
208,96.5449798366106
209,96.70683800386416
210,96.86487682316056
211,97.01909005290143
212,97.16947160257664
213,97.3160155330046
214,97.45871605656704
215,97.5975675374376
216,97.73256449180424
217,97.86370158808592
218,97.99097364714319
219,98.11437564248273
220,98.23390270045576
221,98.34955010045066
222,98.46131327507932
223,98.56918781035759
224,98.67316944587952
225,98.77325407498569
226,98.8694377449254
227,98.9617166570127
228,99.05008716677656
229,99.13454578410459
230,99.21508917338117
231,99.2917141536189
232,99.36441769858439
233,99.4331969369178
234,99.49804915224604
235,99.55897178329036
236,99.61596242396725
237,99.66901882348355
238,99.71813888642542
239,99.76332067284096
240,99.8045623983169
241,99.8418624340491
242,99.87521930690681
243,99.90463169949092
244,99.93009845018592
245,99.95161855320585
246,99.96919115863392
247,99.98281557245619
248,99.99249125658895
249,99.99821782889991
250,99.99999506322332
251,99.99782288936896
252,99.99170139312484
253,99.98163081625384
254,99.96761155648416
255,99.94964416749364
256,99.92772935888785
257,99.90186799617204
258,99.87206110071706
259,99.83830984971893
260,99.8006155761524
261,99.75897976871823
262,99.71340407178452
263,99.66389028532163
264,99.61044036483119
265,99.55305642126888
266,99.49174072096092
267,99.42649568551471
268,99.3573238917232
269,99.28422807146298
270,99.20721111158646
271,99.12627605380791
272,99.04142609458334
273,98.95266458498409
274,98.85999503056465
275,98.76342109122416
276,98.66294658106189
277,98.55857546822654
278,98.4503118747596
279,98.33816007643247
280,98.22212450257769
281,98.10220973591387
282,97.97842051236492
283,97.85076172087275
284,97.7192384032044
285,97.58385575375273
286,97.44461911933148
287,97.30153399896396
288,97.15460604366586
289,97.00384105622216
290,96.84924499095791
291,96.690823953503
292,96.52858420055122
293,96.36253213961292
294,96.1926743287621
295,96.01901747637737
296,95.841568440877
297,95.66033423044804
298,95.4753220027696
299,95.28653906473006
300,95.0939928721386
301,94.89769102943066
302,94.69764128936767
303,94.49385155273077
304,94.28632986800892
305,94.07508443108094
306,93.86012358489174
307,93.641455819123
308,93.41908976985778
309,93.19303421923945
310,92.96329809512484
311,92.72989047073168
312,92.49282056428024
313,92.25209773862922
314,92.00773150090606
315,91.75973150213146
316,91.50810753683808
317,91.25286954268392
318,90.99402760005964
319,90.73159193169063
320,90.46557290223312
321,90.19598101786498
322,89.92282692587062
323,89.64612141422064
324,89.36587541114571
325,89.08209998470487
326,88.79480634234862
327,88.50400583047615
328,88.20970993398717
329,87.91193027582847
330,87.6106786165348
331,87.30596685376446
332,86.99780702182926
333,86.68621129121945
334,86.37119196812286
335,86.05276149393906
336,85.73093244478783
337,85.40571753101258
338,85.07712959667836
339,84.74518161906457
340,84.4098867081524
341,84.07125810610711
342,83.72930918675516
343,83.38405345505574
344,83.03550454656758
345,82.68367622691053
346,82.32858239122169
347,81.9702370636067
348,81.60865439658596
349,81.24384867053561
350,80.87583429312353
351,80.50462579874034
352,80.13023784792536
353,79.75268522678773
354,79.37198284642231
355,78.98814574232068
356,78.60118907377765
357,78.21112812329221
358,77.81797829596431
359,77.42175511888605
360,77.02247424052882
361,76.62015143012499
362,76.21480257704543
363,75.80644369017155
364,75.39509089726353
365,74.98076044432295
366,74.56346869495147
367,74.1432321297043
368,73.72006734543956
369,73.29399105466273
370,72.86502008486642
371,72.43317137786609
372,71.99846198913072
373,71.56090908710928
374,71.12052995255276
375,70.67734197783152
376,70.23136266624859
377,69.78260963134825
378,69.33110059622038
379,68.87685339280061
380,68.41988596116609
381,67.96021634882682
382,67.4978627100129
383,67.03284330495768
384,66.56517649917649
385,66.0948807627413
386,65.6219746695513
387,65.14647689659935
388,64.66840622323429
389,64.18778153041936
390,63.70462179998631
391,63.21894611388611
392,62.730773653434944
393,62.24012369855679
394,61.74701562702209
395,61.25146891368224
396,60.753503129700746
397,60.25313794177989
398,59.750393111384305
